genre,album_name,album_id,release_date,total_tracks,popularity,artists_album,artist_followers,artist_popularity,artist_genres
rock,Gene Rockwell and Friends (The 21st Anniversary Album),1tfriCekqF7MZzloTeqhxA,2013-09-30,14,15,Gene Rockwell,12201,26,
rock,Bly By My Heer,2Ow4bSGff21WK9O4zgV9fU,2013-04-05,28,17,Gene Rockwell,12201,26,
rock,Genki Rockets ＩＩ -No border between us- Repackage,3HVbrF80yo3sd8HmT25ciT,2012-08-08,16,17,Genki Rockets,16707,23,"j-dance, j-pop"
rock,GENKI ROCKETS Ⅱ-No border between us-,47cjD9nzNpWTTUdhVa9voS,2011-09-07,17,19,Genki Rockets,16707,23,"j-dance, j-pop"
rock,Currents,79dL7FLiJFOO0EoehUHQBv,2015-07-17,13,82,Tame Impala,9216666,84,"neo-psychedelic, indie"
rock,Live Versions,44RrnCW7pMIEiiAR3LIAVL,2014-05-16,9,39,Tame Impala,9216666,84,"neo-psychedelic, indie"
rock,Lonerism,3C2MFZ2iHotUQOSBzdSvM7,2012-01-01,12,69,Tame Impala,9216666,84,"neo-psychedelic, indie"
rock,InnerSpeaker,1DNSmmRLfv97Yjq7MTFWng,2010-05-21,11,58,Tame Impala,9216666,84,"neo-psychedelic, indie"
rock,Human,0YkHsU3Mblh7jvNngbV20W,2015-03-30,12,67,Three Days Grace,7175753,82,"post-grunge, rock"
rock,Transit Of Venus,1amiX0yqQQ4ZeY6NajMwq4,2012-10-02,13,56,Three Days Grace,7175753,82,"post-grunge, rock"
rock,Battle Born (Deluxe Edition),6P6DYLagXUhE5Qq2l79Ef1,2012-09-17,15,44,The Killers,7935380,80,alternative rock
rock,Celebration Day,0kTe1sQd9yhDsdG2Zth7X6,2012-11-19,16,46,Led Zeppelin,15837817,80,"classic rock, rock, hard rock, rock and roll"
rock,The Endless River,0yU7VItpGPmPcvKmwLg0JT,2014-11-10,21,49,Pink Floyd,22511659,83,"progressive rock, psychedelic rock, classic rock, art rock, rock"
rock,The Next Day,2BW7T8PojNxH9RPq4WWa6h,2013-03-08,14,43,David Bowie,11662434,80,"glam rock, art rock"
rock,A Reality Tour (Live),6ftJKeuvClf1axwHiVw0KA,2010-01-25,35,46,David Bowie,11662434,80,"glam rock, art rock"
rock,Demolicious,7prfPBMbgDyhq7kdpM0R9v,2014-04-19,18,34,Green Day,17124920,85,"punk, pop punk"
rock,¡TRÉ!,1t9rzuEEFVHPdqRYzsaWC8,2012-12-11,12,46,Green Day,17124920,85,"punk, pop punk"
rock,¡DOS!,71rrqHKVkUFx2CSVfxrrLs,2012-11-13,13,50,Green Day,17124920,85,"punk, pop punk"
rock,¡UNO!,6AFJIZmd1zWQDBBwHyeo9w,2012-09-24,12,51,Green Day,17124920,85,"punk, pop punk"
rock,"Live At the Hammersmith Apollo, London 2012",0OdzgcmiA4tD4FqIX4qpKt,2012-12-03,22,39,The Cranberries,5285259,79,
rock,Roses,75AjCgOwqEyU7WI33rfFH6,2012-02-26,14,34,The Cranberries,5285259,79,
rock,"Live 2010 - Zenith Paris, 22.03.10",4rDXelyOv9EN1Zz1spMhP2,2012-02-06,21,33,The Cranberries,5285259,79,
rock,Days Go By,43NzXURI2kqUYBxWyV6Ep9,2012-06-26,12,54,The Offspring,6542303,80,"punk, skate punk"
rock,Happy Hour!,1Bycvax49QfoMUpuRT7HEB,2010-08-04,19,36,The Offspring,6542303,80,"punk, skate punk"
rock,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,2015-05-15,14,81,Twenty One Pilots,25650360,85,
rock,Vessel,2r2r78NE05YjyHyVbVgqFn,2013-01-08,12,71,Twenty One Pilots,25650360,85,
rock,Drones,2wart5Qjnvx1fd7LPdQxgJ,2015-06-04,12,61,Muse,8411480,79,"alternative rock, rock"
rock,Live at Rome Olympic Stadium,2m7L60M210ABzrY9GLyBPZ,2013-11-25,13,45,Muse,8411480,79,"alternative rock, rock"
rock,The 2nd Law,3KuXEGcqLcnEYWnn3OEGy0,2012-09-24,13,63,Muse,8411480,79,"alternative rock, rock"
rock,Music From Another Dimension! (Expanded Edition),39kme3iLwVpllmUCxrkcPn,2012-11-06,18,41,Aerosmith,15857234,79,"classic rock, rock"
rock,Music From Another Dimension!,5r8fL75eM7ZZ8atojWpTpq,2012-11-06,15,25,Aerosmith,15857234,79,"classic rock, rock"
rock,Burning Bridges,3AkIHz2xtJzBOGopjuVWxR,2015-08-21,10,35,Bon Jovi,15594710,81,"glam metal, rock"
rock,What About Now,0ygrVw5SYpWGQXD84CNdMW,2013-03-08,16,36,Bon Jovi,15594710,81,"glam metal, rock"
rock,Inside Out,5UolC1Fr2JooZ6rUxbBmTk,2012-01-01,14,33,Bon Jovi,15594710,81,"glam metal, rock"
rock,MTV Unplugged. El Libro De Las Mutaciones,3AO4YRY9r2gQL6GWLtdm7h,2015-11-27,15,56,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Hijos del pueblo,69JZWukakNJGpGhJILhyTl,2015-04-14,10,55,"Bunbury, Andrés Calamaro",3012891,74,"rock en español, latin rock, mexican rock"
rock,"Madrid, Área 51... en un sólo acto de destrucción masiva!!!",53N6l5s4x7IKxge8CFpyvx,2014-11-25,26,35,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Palosanto,0nXljaUulp8uOde6IZCTbo,2013-09-20,15,40,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,De cantina en cantina (On Stage 2011-12),6xKhb1Y11T7X7qIY7qKp3Y,2012-02-02,11,24,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Gran Rex,6bGYQhFuGsgvB02NlwSjJb,2011-03-29,24,37,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Licenciado cantinas,3O6UOvU2ni8ir93Bs6gquU,2011-02-02,15,45,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Las Consecuencias,2oOUx7YZnwBm4tshQbhdyO,2010-02-16,11,60,Bunbury,3012891,74,"rock en español, latin rock, mexican rock"
rock,Live 1965: Music From Charlie Is My Darling (Live From England/1965),2Jps53V1q9huwJl6VU8FMP,2012-11-06,13,19,The Rolling Stones,15585443,81,"classic rock, rock"
rock,Live At The Checkerboard Lounge,0SLzwxGYeOdJYbjxbE9plW,2012-07-09,21,36,"Muddy Waters, The Rolling Stones",1346819,56,"blues, classic blues, blues rock, jazz blues, soul blues, country blues"
rock,Some Girls: Live In Texas '78,6GXsWYpplfx8n7b1OMlU7n,2011-11-21,17,29,The Rolling Stones,15585443,81,"classic rock, rock"
rock,TKOL RMX 1234567,566osTxDsfrtdBxPDMGufx,2011-10-10,19,39,Radiohead,13356863,89,"art rock, alternative rock"
rock,The King Of Limbs,3P17levwUPzmFfLYdAK3A7,2011-02-18,8,57,Radiohead,13356863,89,"art rock, alternative rock"
rock,Hijos del pueblo,69JZWukakNJGpGhJILhyTl,2015-04-14,10,55,"Bunbury, Andrés Calamaro",3012891,74,"rock en español, latin rock, mexican rock"
rock,Pura sangre,4T4t6X5eZ0ywtQ5fdScj3C,2014-12-02,14,31,Andrés Calamaro,2793583,73,"argentine rock, rock en español, latin rock"
rock,Jamón del medio,7nW60ZbJOcQLGd9d5TWY1O,2014-12-02,16,35,Andrés Calamaro,2793583,73,"argentine rock, rock en español, latin rock"
rock,Bohemio,0rvKuIaaoeOlU1NDBI0EVm,2013-08-28,10,54,Andrés Calamaro,2793583,73,"argentine rock, rock en español, latin rock"
rock,Salmonalipsis now,6pCIiRs1bRgOCpOKc50WYs,2011-04-26,54,30,Andrés Calamaro,2793583,73,"argentine rock, rock en español, latin rock"
rock,On the rock,6LC8ptXigkd1axeNCKryIm,2010-05-18,14,35,Andrés Calamaro,2793583,73,"argentine rock, rock en español, latin rock"
rock,Going Back (2010),51YI8SD0GBp3c7cavCD6Zr,2010-09-10,26,40,Phil Collins,7199685,80,soft rock
rock,Home for Christmas,6JyqlgXaWiIGkL926mOENB,2015-12-04,12,6,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,The Merry Christmas Collection (Remastered),5n2dANuWWQA2iF7YmZDVnU,2015-11-27,12,5,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Christmas - Elvis Presley Sings Everybody's Favorite Christmas Music (Remastered),3dOEquSbHn4pX9d1Knp9ts,2015-11-24,12,3,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,3BYCjGZjrTkilIY7U25fNt,2015-10-30,14,56,"Elvis Presley, Royal Philharmonic Orchestra",10890212,80,"rockabilly, rock and roll"
rock,The Classic Christmas Album (Remastered),2CG4yPvXvACMUNhJAkDcWc,2014-12-05,12,3,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Let It Snow (All-Time Christmas Favorites! Remastered),78O6BdDjqJra4SH9YM5Any,2014-11-04,12,3,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Only The Best,0BalQwYf5R0O7as2o3Om5u,2014-01-28,10,47,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Elvis Presley: My Christmas (Remastered),4zyE83KA7uEaXP8ckRMz2d,2013-11-26,12,4,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Elvis At Stax,3EHxFLhmgSGEBmJ7tFXwRz,2013-08-05,55,35,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Prince From Another Planet (Live),1GX2nOfzF9HpmuikfC7BrQ,2012-11-12,47,36,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Viva Elvis,4s9av7NxzjUbvQl5h9S2BN,2010-11-11,12,38,Elvis Presley,10890212,80,"rockabilly, rock and roll"
rock,Orígenes: El Bolero En directo,3hN1foYpUUwk9iBGajaq5E,2015-12-04,22,33,Café Quijano,477349,61,"bolero, rock en español"
rock,Orígenes: El Bolero Vol.3,3cpEWPCmAkKQunvQmeYP1t,2014-12-02,12,42,Café Quijano,477349,61,"bolero, rock en español"
rock,Orígenes: El Bolero Volumen 2,5hKHbnTcIY0q7T3TqdwKJx,2013-11-05,12,48,Café Quijano,477349,61,"bolero, rock en español"
rock,Orígenes: El Bolero,1AuiaiONjc0gPbQACNpzD5,2012-10-30,11,35,Café Quijano,477349,61,"bolero, rock en español"
rock,En la arena (Gira 30 años y un día / Las Ventas 26 de junio de 2015),4CDz2IXJSPEwS42yZUWGYU,2015-11-20,28,40,Hombres G,5017983,73,"rock en español, latin rock, mexican rock"
rock,30 años y un día,2gCKmsAG21Prjee7ooKE4p,2015-06-02,52,53,Hombres G,5017983,73,"rock en español, latin rock, mexican rock"
