Nombre Artista,Reproducciones,Oyentes,Biografia,Artistas Similares,Tags,Ontour
The Black Keys,191878192,3214875,"The Black Keys are an alternative rock  group from Akron, Ohio, United States which formed in 2001, consisting of singer and guitarist Dan Auerbach and drummer Patrick Carney. The band name was inspired by a schizophrenic artist and friend in Akron, who used the term ""black keys"" to describe things he disliked or people he did not trust. The Black Keys have roots in traditional blues and psychedelic rock stylings.

They released their first album, The Big Come Up, in 2002, followed by Thickfreakness in 2003, and Rubber Factory in 2004. <a href=""https://www.last.fm/music/The+Black+Keys"">Read more on Last.fm</a>","Dan Auerbach, The Arcs, Black Pistol Fire, The Blue Stones, The Raconteurs","blues rock, blues, rock, indie rock, indie",1
Three Days Grace,167840674,3652299,"Three Days Grace is a Canadian rock band, formed under the name Groundswell in Norwood, Ontario, Canada in 1992. After a breakup in 1995, the band reformed in 1997 under its current name and with a line-up consisting of guitarist and lead vocalist Adam Gontier, drummer and backing vocalist Neil Sanderson, and bassist Brad Walst. In 2003, Barry Stock was recruited as the band's lead guitarist. The band has released seven studio albums, with a record fourteen #1 hits on Mainstream Rock. <a href=""https://www.last.fm/music/Three+Days+Grace"">Read more on Last.fm</a>","Saint Asonia, Breaking Benjamin, Seether, My Darkest Days, Shinedown","alternative rock, rock, hard rock, alternative, metal",1
Bon Iver,228256135,3427356,"
Bon Iver is a Grammy Award winning  folk band from Eau Claire, Wisconsin, United States, and one of Justin Vernon's current and most notable music projects to date. The band also consists of Mike Noyce, Sean Carey and Matt MacCaughan. 

The name 'Bon Iver' (pronounced ""bon ee-VAIR"") is a play on the French phrase 'bon hiver' meaning 'good winter'. Vernon independently released Bon Iver's debut album For Emma, Forever Ago in 2007, most of which was recorded during a four-month stay in a remote cabin in Wisconsin. <a href=""https://www.last.fm/music/Bon+Iver"">Read more on Last.fm</a>","Justin Vernon, Volcano Choir, Sufjan Stevens, Ben Howard, Fleet Foxes","folk, indie, singer-songwriter, acoustic, Lo-Fi",0
Mary J. Blige,32620515,2242351,"Mary Jane Blige (born January 11, 1971 in Bronx, New York, United States), is an American R&B, Soul, and Hip Hop singer, songwriter, rapper and actress. Known as The Queen of Hip-Hop Soul and The Queen of R&B, she has sold over 75 million records worldwide. 

In 1992, Blige released her debut album What's The 411?. The album sold 3.4 million copies on the strength of singles You Remind Me, Real Love, Reminisce, Sweet Thing, and Love No Limit. The <a href=""https://www.last.fm/music/Mary+J.+Blige"">Read more on Last.fm</a>","Faith Evans, Toni Braxton, Monica, Brandy, Xscape","rnb, soul, female vocalists, Hip-Hop, urban",0
Joe Cocker,19263562,1534486,"John Robert ""Joe"" Cocker (20 May 1944 – 22 December 2014) was an English singer known for his gritty, bluesy voice and dynamic stage performances that featured expressive body movements. Most of his best known singles were recordings of songs written by other song writers, though he composed a number of songs for most of his albums as well, often in conjunction with songwriting partner Chris Stainton.

His first album featured a recording of the Beatles' ""With a Little Help from My Friends"", which brought him to near-instant stardom. <a href=""https://www.last.fm/music/Joe+Cocker"">Read more on Last.fm</a>","Chris Rea, Eric Clapton, Rod Stewart, Leon Russell, Snowy White","classic rock, blues, rock, blues rock, soul",0
Ximena Sariñana,3721790,192003,"Ximena Sariñana Rivera (born on October 29, 1985 in Guadalajara, Mexico) is a Grammy Award and Latin Grammy nominated Mexican singer-songwriter and actress. Sariñana's musical career was launched in 2008 with the release of her first studio album Mediocre, an adult contemporary pop-rock/vocal jazz album that has been critically acclaimed and nominated for various awards, including two nominations in the Latin Grammy Awards of 2008.

Her first solo album  Mediocre was released on February 12, 2008 by Warner Music Group. <a href=""https://www.last.fm/music/+noredirect/Ximena+Sari%C3%B1ana"">Read more on Last.fm</a>","Tessa Ia, Julieta Venegas, Ely Guerra, Natalia Lafourcade, Daniela Spalla","pop, female vocalists, mexico, indie, alternative",0
Kool & The Gang,20120139,1951597,"Kool & the Gang is an American R&B, soul, and funk band formed in Jersey City, New Jersey, in 1964. Its founding members include brothers Robert ""Kool"" Bell and Ronald Bell, Dennis ""Dee Tee"" Thomas, Robert ""Spike"" Mickens, Charles Smith, George Brown, Woodrow ""Woody"" Sparrow, and Ricky Westfield. They have undergone numerous changes in personnel and have explored many musical styles throughout their history, including jazz, rhythm and blues, soul, funk, disco, rock, and pop music. <a href=""https://www.last.fm/music/Kool+&+the+Gang"">Read more on Last.fm</a>","Chic, Earth, Wind & Fire, Sister Sledge, Commodores, The Whispers","funk, soul, Disco, 70s, 80s",0
Lenny Kravitz,50957290,2820204,"Leonard Albert ""Lenny"" Kravitz (born May 26, 1964. New York, USA) is an American singer-songwriter, record producer, guitarist and actor whose retro amalgam of rock, pop, funk, and even techno is inspired by such music icons as David Bowie, Jimi Hendrix and John Lennon. Like Prince and Sly Stone before him, Kravitz uses a multi-ethnic, mixed-gender backing band.

Kravitz plays guitar, bass, drums, keyboards, percussion, and sitar. He often plays these instruments on each recorded track <a href=""https://www.last.fm/music/Lenny+Kravitz"">Read more on Last.fm</a>","Prince, Terence Trent D'Arby, Seal, Prince and the New Power Generation, Fun Lovin' Criminals","rock, funk, alternative, alternative rock, pop",1
Led Zeppelin,326917348,4752730,"Led Zeppelin were a hard rock band formed in London in 1968. The group comprised vocalist Robert Plant, guitarist Jimmy Page, bassist and keyboardist John Paul Jones, and drummer John Bonham. With a heavy, guitar-driven sound, they are cited as one of the progenitors of hard rock and heavy metal, although their style drew from a variety of influences, including blues and folk music. Led Zeppelin have been credited as significantly impacting the nature of the music industry <a href=""https://www.last.fm/music/Led+Zeppelin"">Read more on Last.fm</a>","Deep Purple, Cream, The Doors, The Rolling Stones, Pink Floyd","classic rock, hard rock, rock, 70s, Progressive rock",0
The 1975,272248591,2478120,"The 1975 is an English pop band formed in 2002 in Wilmslow, Cheshire. Now based in Manchester, the band consists of lead vocalist, producer, lyricist and rhythm guitarist Matty Healy (the son of actors Denise Welch and Tim Healy), lead guitarist Adam Hann, bassist Ross MacDonald, and drummer/producer George Daniel.

The band's origins trace to their attendance at secondary school and playing together as teenagers. Initial efforts to sign with a label failed, leading to the band's manager Jamie Oborne to form Dirty Hit records. <a href=""https://www.last.fm/music/The+1975"">Read more on Last.fm</a>","Bleachers, Inhaler, Catfish and the Bottlemen, The Band CAMINO, Declan McKenna","indie, indie rock, british, alternative, rock",0
Simply Red,20505024,1280602,"Simply Red is an English soul and pop band formed in Manchester in 1985. Band leader, singer and songwriter Mick Hucknall was the only original member left by the time Simply Red initially disbanded in 2010. They have released thirteen studio albums, from Picture Book (1985) through Time (2023), all of which have peaked within the top ten on the UK Albums Chart; with the albums A New Flame (1989), Stars (1991), Life (1995) and Blue (1998), along with their Greatest Hits (1996) album, reaching number one. <a href=""https://www.last.fm/music/Simply+Red"">Read more on Last.fm</a>","Lisa Stansfield, George Michael, Paul Young, Lionel Richie, Seal","pop, soul, 80s, british, rock",1
Britney Spears,462433625,6092062,"Britney Jean Spears  (born December 2, 1981 in McComb, Mississippi) is an American singer, songwriter, dancer and writer. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". Regarded as a pop icon, Spears has sold nearly 150 million records worldwide, including over 70 million solely in the United States, making her one of the world's best-selling music artists. <a href=""https://www.last.fm/music/Britney+Spears"">Read more on Last.fm</a>","Christina Aguilera, Madonna, Lindsay Lohan, Kylie Minogue, The Pussycat Dolls","pop, dance, female vocalists, Britney Spears, legend",0
Foreigner,30330846,2229180,"Foreigner is a British-American rock band, originally formed in 1976 by the veteran English musician Mick Jones and fellow Briton and ex-King Crimson member Ian McDonald along with American vocalist Lou Gramm.

The current incarnation of the band includes Jones, lead vocalist Kelly Hansen, bass guitarist Jeff Pilson and multi-instrumentalist Tom Gimbel.

With ten multi-platinum albums and sixteen Top 30 hits, Foreigner is universally hailed as one <a href=""https://www.last.fm/music/Foreigner"">Read more on Last.fm</a>","REO Speedwagon, Journey, Bad Company, Styx, Boston","classic rock, rock, hard rock, 80s, pop",1
