genre,track_name,track_id,artists_track,album_name,release_date,popularity,duration_ms
rock,War of Change,1qUHD9oPIMFHKpR12NY2KC,Thousand Foot Krutch,The End Is Where We Begin,2012-04-17,69,231665
rock,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,Currents,2015-07-17,85,216320
rock,The Adventures of Rain Dance Maggie,0PgNhIg5n0UAOBVn43b8b6,Red Hot Chili Peppers,I'm with You,2011-08-29,66,282400
rock,Under Cover of Darkness,6u0x5ad9ewHvs3z6u9Oe3c,The Strokes,Angles,2011-03-21,66,235546
rock,After Dark,2LKOHdMsL0K9KwcPRlJK2v,Mr.Kitty,Time,2014-10-06,76,259146
rock,A Girl Like You,0MteK167vtyb6hoJNC3Uz3,Edwyn Collins,Gorgeous George,2011-10-19,69,236583
rock,My Demons,3Xfg7AegXaDLoD5GOUMf2e,STARSET,Transmissions (Deluxe Version),2014,71,288036
rock,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,Tame Impala,Lonerism,2012-01-01,75,192960
rock,R U Mine?,2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,AM,2013-09-09,80,201726
rock,Eventually,5M4yti0QxgqJieUYaEXcpw,Tame Impala,Currents,2015-07-17,76,318591
rock,Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj,Bring Me The Horizon,Sempiternal (Expanded Edition),2013-04-01,77,228146
rock,Walk,76Je5Wklky23mVoxiRszcN,Foo Fighters,Wasting Light,2011-04-12,67,255960
rock,Cuando no estás,5kl4FkCUzVa5wicxafa9yc,Andrés Calamaro,Bohemio,2013-08-28,64,202822
rock,I Want to Know What Love Is,04OjLvOApQve45B0ISx4XN,Foreigner,Feels Like The First Time,2011-09-13,65,285666
rock,A las Nueve,0CgpCtEPvyDizcg2p47VrU,No Te Va Gustar,El Calor Del Pleno Invierno,2012-10-18,71,207533
rock,Figure It Out,3MjrueDQKVr6xDDseZwhEd,Royal Blood,Royal Blood,2014-08-18,65,183602
rock,Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,Mac DeMarco,2,2012-10-16,75,173888
rock,Lo malo de ser bueno,7xB3hSztVbX6xFvQqEGKud,El Cuarteto De Nos,Porfiado,2012-04-27,67,242120
rock,Left Hand Free,5qJqzpNdEbt92roedFwoDR,alt-J,This Is All Yours,2014-09-22,67,173630
rock,"New Person, Same Old Mistakes",52ojopYMUzeNcudsoz7O9D,Tame Impala,Currents,2015-07-17,79,363240
rock,Por Mil Noches,5vHWh24GAsXJ7tnIu8v7UN,Airbag,Libertad,2013-11-27,72,283884
rock,Gold on the Ceiling - 2021 Remaster,54bO2CHOgGN44oWmAqib0I,The Black Keys,El Camino (2021 Remaster),2011,68,224490
rock,Painkiller,6OMO6WdRhSfjMPAiPT94wH,Three Days Grace,Human,2015-03-30,71,179160
